Blockchain Company,ICO Size (in millions),Market Capitalization
Pibble, $ 21.30 ,"60,187,293"
PikcioChain (PKC), $ 10.00 ,
Pillar, $ 18.53 ,"33,502,016"
Play2Live (LUC), $ 30.00 ,
Playkey (PKT), $ 10.45 ,"403,451"
Plutus, $ 1.00 ,
PM7, $ 2.20 ,
PolicyPal Network (PAL), $ 20.00 ,
Polybius, $ 31.65 ,"9,148,166"
PolySwarm (NCT), $ 25.94 ,"14,962,050"
Ponder (Private Sale), $ 1.50 ,
Pontem Inc.,2.5,
Poseidon Pre-Sale,2.45,"457,837,672.43"
Power Ledger (POWR), $ 23.23 ,"254,626,675"
Presearch, $ 20.50 ,"19,702,556"
PressOne, $ 82.00 ,"58,398,119"
Primalbase, $ 6.82 ,PBT
Privatix, $ 2.71 ,"81,708"
Project Decorum, $ 0.43 ,
Project SHIVOM, $ 35.00 ,"3,953,130.00"
Proof Suite (PRFT), $ 3.10 ,
PROPS, $ 25.00 ,"71,354,462"
Propy, $ 12.52 ,"79,753,586"
Prospector, $ 0.60 ,
Protos (PRTS), $ 5.72 ,
ProximaX, $ 28.71 ,"12,144,466"
Publica, $ 1.09 ,
PundiX (PXS), $ 35.00 ,"416,667,977"
Qash (QASH), $ 107.29 ,"78,701,189"
Qbao (QTUM), $ 9.80 ,"999,290"
Qlink, $ 32.17 ,"21,653,629"
Qlink, $ 19.27 ,
Qtum, $ 15.43 ,"1,183,179,606"
Quadrant Protocol,16,"5,807,693.95"
Quantstamp, $ 53.64 ,"40,592,987"
Quantum Resistant Ledger, $ 4.16 ,"24,341,517"
Quantum1Net, $ 4.15 ,
QuarkChain, $ 20.00 ,"182,872,958.93"
Qvolta, $ 0.73 ,"38,695.92"
R_Block, $ 2.22 ,
Rate3 Network, $ 17.50 ,"939,079"
REAL (REAL), $ 10.79 ,"1,532,488"
Reality Clash, $ 2.53 ,
REALT (RLT), $ 11.15 ,"4,355,559"
Red Pulse (RPX), $ 13.32 ,
Refereum, $ 32.25 ,"58,818,764.04"
REMME, $ 17.54 ,"2,342,346"
Rentberry (BERRY), $ 27.60 ,"300,856"
Republic Protocol (REN), $ 34.00 ,"522,314,307.26"
